label,review
p,‌ساله کافه می‌آیم وقت کیفیتش افت نکرده
p,آبگوشت یادم بیاید اولین جایی هست ذهنم می‌آید حتما بار امتحان کنید
p,‌از کافه‌‌های محبوب منطقه سفارش‌‌هایم راضی بودم خصوص سالاد سبزیجات مثلش جایی نخوردم سرویس‌دهی پرسنل خوب هست خوش برخورد هستند
m,آبادان فلافل خوردم خرمشهر خوردم عراق خوردم تهران خوردم فلافلی فلافلش فلافلی‌ها مزه کوکو کتلت نمی‌دهد مزه فلافل می‌دهد است سس انبه عالیش
m,آبگوشت خانگی خوشمزه گوشت کوبیده لذیذ محیط نوستالژیک گرم پرسنل کاربلدی داشت رفتنش می‌ارزد
p,آبگوشت خار نیستم آبگوشت جیز دیگس خودشان تیلیت می‌کنند خودشان می‌کوبند رفتارشان هستم عالی هست دوستانه صمیمی
n,آخر دوره دوست دارم بیایم بستنی رولی دوست دارم
p,آبگوشت خوشمزه‌ای دارد بخصوص آماده کردن گوشت کوبیده کارا راحت می‌کنند نان تازه ومخلفات خوشمزه حسن ختام چای بامیه غذا عالی باعث نمی‌شود آبگوشت قیمت چلوکباب برگ حساب کنند نشستن تنگ صف انتظار
m,آخر هفته دوره همی خانوادگی رفتیم نکات جالب خلوتی شنبه شب بود پارک مشکل همیشگی بواسطه خلوتی کم‌تر دشوار بود نمی دوانم برنج مخلوط داخلی خارجی زیبنده رستوران نیست کباب جوجه چندان دلچسب نبود نظرم نسبت افت کرده است قطعا نیاز بازبینی مدیر‌ها هستند مجموعه دارد فضا دلنشین سرویس مناسب مقبول
n,آخر عمر پام نمی‌گذارم غذا‌‌هایش گران هست کیفیت حد قیمت نیست سالاد خیلیی بد بود حد سالاد کاهوی معمولی وقت قیمتش اا هزار تومان بود ناراضی بودیم تومان پول الکی
p,آبگوشت‌‌های فوق‌العاده طعم فضای قدیم
m,آخر هفته فوق‌العاده شلوغ سرعت پرسنل بالا است زیاد معطل نمی‌شوید کباب ترکی گوشت خوشمزه پر حجم بود گوشت تازه بود بوی بدی نمیداد راضی بودم سر کباب ترکی سالاد کلم فری می‌دهند کباب ترکی مرغ معمولی بود خاص نبود
m,آبگوشت محیط سرویس عالی خانوادگی خوب هست مسافر گردشگر سمت راه‌اهن غذا کیفیت نمی‌شود
p,آخ مگر داریم بهتر
p,آبگوشت نخور‌هایی جذاب هست گروه دوستام بارها رفتم راضی بودیم بخصوص مخلفات متنوع جالبی دارد خوشمزه دکورش فوق‌العاده نکته چندان خوب هست دو نفری دیزی سفارش می‌دهیم آخر حدود نفری تومان می‌آید
p,آخر هفته دوباره بودم علیرغم شلوغ آخر شب بود پرسنل دست‌پاچگی لبخند لب کار مشتری‌ها هستند می‌انداختند
